Alpha Score,Threshold,Precision,Recall,F2-score
0.0,0.0,0.0015369336990447347,1.0,0.007637713855987958
0.0,0.01,0.0015402658014991798,1.0,0.007654171175096611
0.0,0.02,0.0015418641713985431,1.0,0.0076620654005128625
0.0,0.03,0.0015438236664272323,1.0,0.007671743058152463
0.0,0.04,0.0015465200701717037,1.0,0.007685059953027202
0.0,0.05,0.0015501054798385593,1.0,0.007702766993884237
0.0,0.06,0.0015552265024516424,1.0,0.007728056996047373
0.0,0.07,0.0015617183966848646,1.0,0.007760115522735302
0.0,0.08,0.001569665124513632,1.0,0.007799356113428517
0.0,0.09,0.00158007017769171,1.0,0.007850732058066554
0.0,0.1,0.001593008734838884,1.0,0.007914611493228144
0.0,0.11,0.0016087779556645055,1.0,0.007992457421080044
0.0,0.12,0.0016287318052831267,1.0,0.008090947094942052
0.0,0.13,0.0016513516306759478,1.0,0.008202576799088064
0.0,0.14,0.0016798992441165218,1.0,0.008343431722010039
0.0,0.15,0.001714126762261016,1.0,0.00851226937632296
0.0,0.16,0.0017541384504203453,1.0,0.008709581008366421
0.0,0.17,0.0018025580439036371,1.0,0.008948271107264467
0.0,0.18,0.0018561474852187268,1.0,0.009212339582298973
0.0,0.19,0.001919835318714974,1.0,0.009526023011874517
0.0,0.2,0.0019966240848524703,1.0,0.009904021988902547
0.0,0.21,0.0020860530644958024,1.0,0.010343953181545554
0.0,0.22,0.002191159956190142,1.0,0.010860610442148248
0.0,0.23,0.0023086415926065833,1.0,0.011437586808532015
0.0,0.24,0.0024458545934684184,1.0,0.012110788060904945
0.0,0.25,0.002602588259008357,1.0,0.012878867735213831
0.0,0.26,0.0027880112063332404,1.0,0.013786310479225915
0.0,0.27,0.003001280129592137,1.0,0.014828384109631896
0.0,0.28,0.0032446401132914054,1.0,0.01601534445033015
0.0,0.29,0.0035251636212930825,1.0,0.01738073832070792
0.0,0.3,0.003853807538472389,1.0,0.01897651041676976
0.0,0.31,0.004225493194072892,1.0,0.020776305421734385
0.0,0.32,0.0046317250815588,1.0,0.02273737237610148
0.0,0.33,0.005149193280121416,1.0,0.025226384286801642
0.0,0.34,0.005717980720072415,1.0,0.02795061919370726
0.0,0.35000000000000003,0.006314049432375029,1.0,0.030792544567679395
0.0,0.36,0.007029395013022379,1.0,0.03418575437969963
0.0,0.37,0.007855553229927004,1.0,0.0380811714714279
0.0,0.38,0.008912738068900276,1.0,0.04302964260939758
0.0,0.39,0.010074733321798174,1.0,0.048422299588270684
0.0,0.4,0.011389376687604313,1.0,0.054465567958104893
0.0,0.41000000000000003,0.012937361959539626,1.0,0.06150401117933558
0.0,0.42,0.01445243943321681,1.0,0.06831303704454264
0.0,0.43,0.016323922009075027,1.0,0.07661685948980762
0.0,0.44,0.018585612862376925,1.0,0.08649761925213478
0.0,0.45,0.020816622684481586,1.0,0.09608264846400447
0.0,0.46,0.023619812403962964,1.0,0.10790434086463137
0.0,0.47000000000000003,0.026532329424392417,1.0,0.11993321666774005
0.0,0.48,0.02986135756470662,1.0,0.13337567315720958
0.0,0.49,0.033467065425320505,1.0,0.14757916133531135
0.0,0.5,0.03712106077367376,1.0,0.16160892496725812
0.0,0.51,0.040894609676592725,1.0,0.1757277735485458
0.0,0.52,0.04651235615392475,1.0,0.1960810198487115
0.0,0.53,0.05136594351181876,1.0,0.21305469570172383
0.0,0.54,0.05708257597010392,1.0,0.23235841283803907
0.0,0.55,0.06365744852494776,0.9908256880733946,0.2532143305743523
0.0,0.56,0.07155250471750202,0.9908256880733946,0.2775805693396943
0.0,0.5700000000000001,0.08310071877749185,0.981651376146789,0.3103978959342557
0.0,0.58,0.09091524816740112,0.981651376146789,0.33169649125717837
0.0,0.59,0.0994635242932991,0.981651376146789,0.3538895183356723
0.0,0.6,0.10917415987829324,0.981651376146789,0.377802073612833
0.0,0.61,0.11880185255268297,0.9770642201834863,0.3996395611929418
0.0,0.62,0.13252083847557797,0.9678899082568807,0.42813041271967983
0.0,0.63,0.1403570041281154,0.9587155963302753,0.44259781699236694
0.0,0.64,0.15437336924445033,0.9541284403669725,0.46859877813440437
0.0,0.65,0.17312421906314532,0.9541284403669725,0.5015796230546895
0.0,0.66,0.18371456989226037,0.9357798165137615,0.5145231241517291
0.0,0.67,0.20857118391002957,0.9357798165137615,0.5513265151033256
0.0,0.68,0.2213223986456042,0.9357798165137615,0.5686467312366239
0.0,0.6900000000000001,0.23372152159717247,0.9311926605504587,0.583147323983401
0.0,0.7000000000000001,0.24103863122824065,0.9220183486238532,0.5891348662619775
0.0,0.71,0.2505892991739935,0.9036697247706422,0.5940366331257957
0.0,0.72,0.2608434465821011,0.9036697247706422,0.6053185874824604
0.0,0.73,0.28577053143884606,0.8944954128440367,0.6272655264784608
0.0,0.74,0.32132281368297944,0.8944954128440367,0.6592887899465716
0.0,0.75,0.34648744542249615,0.8944954128440367,0.6795415019868559
0.0,0.76,0.36313884927598117,0.8899082568807339,0.6897871388850596
0.0,0.77,0.3718883490563838,0.8761467889908257,0.6892345842478862
0.0,0.78,0.384676587428881,0.8761467889908257,0.6978336518143569
0.0,0.79,0.4075869584759862,0.8715596330275229,0.7099310119407093
0.0,0.8,0.4282737041222571,0.8532110091743119,0.7119335420643422
0.0,0.81,0.44976815473307663,0.8532110091743119,0.7234277984595135
0.0,0.8200000000000001,0.463466350163598,0.8486238532110092,0.7276783790109832
0.0,0.8300000000000001,0.4953758779446854,0.8348623853211009,0.7342275510389287
0.0,0.84,0.5179588505276581,0.8256880733944955,0.7379965149639607
