N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
5,0.673025435073628,0.7183734939759037,0.695516444553032,1.3825301204819278,1.0,5,1
50,0.4499135430611338,0.7656459170013388,0.6099637141672929,3.1144578313253013,2.0,10,1
100,0.2601083738884944,0.8186914323962518,0.4944927827072044,6.019076305220883,7.0,13,1
300,0.11427454498321686,0.9213520749665327,0.3534254629636915,12.47991967871486,16.0,20,5
500,0.05972338125952668,0.9919678714859438,0.23578258317862683,19.106425702811244,22.0,22,9
