Alpha Score,Threshold,Precision,Recall,F2-score
0.0,0.0,0.0016586710217413475,1.0,0.008232043769526074
0.0,0.01,0.00166175309861532,1.0,0.008247231516269746
0.0,0.02,0.001662878875665228,1.0,0.008252785909459324
0.0,0.03,0.0016650207235675834,1.0,0.008263354942942476
0.0,0.04,0.001667557402921964,1.0,0.00827585531495855
0.0,0.05,0.0016713143597272475,1.0,0.00829438302103579
0.0,0.06,0.0016762583214446438,1.0,0.008318735664829095
0.0,0.07,0.0016827869894915882,1.0,0.008350903237325206
0.0,0.08,0.0016917666010106956,1.0,0.008395129367618822
0.0,0.09,0.0017030996399281363,1.0,0.008450948117021491
0.0,0.1,0.001716769088580398,1.0,0.008518281014459186
0.0,0.11,0.0017338477006571516,1.0,0.00860241054787535
0.0,0.12,0.0017534235476370542,1.0,0.008698832170757823
0.0,0.13,0.0017775518519478706,1.0,0.008817658152884305
0.0,0.14,0.0018067472213078443,1.0,0.008961391176739539
0.0,0.15,0.0018434196982589173,1.0,0.009141824643070576
0.0,0.16,0.0018861670599181718,1.0,0.009352135843799061
0.0,0.17,0.0019368117824599702,1.0,0.009601155084342781
0.0,0.18,0.001995641201436811,1.0,0.009890105313784026
0.0,0.19,0.0020645623610917496,1.0,0.010228521016727672
0.0,0.2,0.0021451607931509556,1.0,0.010623818484781566
0.0,0.21,0.002238769028734047,1.0,0.01108257656143418
0.0,0.22,0.002346566306476872,1.0,0.011610231960975773
0.0,0.23,0.0024701558791732302,1.0,0.01221460292487817
0.0,0.24,0.0026222277957763237,1.0,0.012957087349041658
0.0,0.25,0.0027876598246022025,1.0,0.01376345478250027
0.0,0.26,0.002977914292945764,1.0,0.014689001436170877
0.0,0.27,0.0031934310484744034,1.0,0.015734919435552632
0.0,0.28,0.0034592342783297983,1.0,0.017021254869136082
0.0,0.29,0.003748444971673379,1.0,0.01841752236529239
0.0,0.3,0.004074325024785024,1.0,0.01998394833231777
0.0,0.31,0.00445747562768452,1.0,0.021819196986800612
0.0,0.32,0.004898909364304979,1.0,0.023923858868953176
0.0,0.33,0.00538376767595291,0.995049504950495,0.02621701128128376
0.0,0.34,0.005956986900522282,0.9900990099009901,0.02891123877649765
0.0,0.35000000000000003,0.006639105149274116,0.9900990099009901,0.032104173679101226
0.0,0.36,0.007410955575349784,0.9900990099009901,0.035680793526707534
0.0,0.37,0.008281471216829683,0.9900990099009901,0.03967820863572887
0.0,0.38,0.009277631712541251,0.9900990099009901,0.04420727357016478
0.0,0.39,0.010367529193750023,0.9900990099009901,0.04911346087830604
0.0,0.4,0.011721227666672546,0.9900990099009901,0.05508663218156214
0.0,0.41000000000000003,0.013287250214192775,0.9900990099009901,0.061913208470991646
0.0,0.42,0.014978883110609766,0.9900990099009901,0.06915287161095887
0.0,0.43,0.017093920316450788,0.9900990099009901,0.0779664658377301
0.0,0.44,0.019221697547000895,0.9900990099009901,0.0866809375714479
0.0,0.45,0.02148171629454335,0.9900990099009901,0.09578711336455964
0.0,0.46,0.024186423983249935,0.9900990099009901,0.10642303005085572
0.0,0.47000000000000003,0.027513104244985164,0.9900990099009901,0.11899751071885972
0.0,0.48,0.03151225926968248,0.9900990099009901,0.13354617006974412
0.0,0.49,0.034940840531169394,0.9851485148514851,0.1455875073967989
0.0,0.5,0.03888810085641373,0.9851485148514851,0.1591838631903644
0.0,0.51,0.04358220430676626,0.9851485148514851,0.1744251387741062
0.0,0.52,0.04838364187304078,0.9752475247524752,0.18938228520568196
0.0,0.53,0.05474348252992375,0.9752475247524752,0.2084428660938197
0.0,0.54,0.06098909826651452,0.9702970297029703,0.2256779394055307
0.0,0.55,0.0686980909152097,0.9702970297029703,0.2456551880161359
0.0,0.56,0.07528651112668347,0.9702970297029703,0.26376080700997906
0.0,0.5700000000000001,0.0845008633708233,0.9702970297029703,0.2849683267347093
0.0,0.58,0.09297982263065105,0.9702970297029703,0.3043043663806782
0.0,0.59,0.10250550726403992,0.9653465346534653,0.3246866604365424
0.0,0.6,0.11509615653615575,0.9653465346534653,0.3463294888797121
0.0,0.61,0.13233479806247822,0.9653465346534653,0.3755296138591975
0.0,0.62,0.15281178049063943,0.9653465346534653,0.4000763417317731
0.0,0.63,0.16625156440468344,0.9653465346534653,0.42408472238926476
0.0,0.64,0.18894216559246754,0.9653465346534653,0.45004225580571267
0.0,0.65,0.2198757131556961,0.9603960396039604,0.47913791807249506
0.0,0.66,0.23944943329672988,0.9603960396039604,0.5029104023204896
0.0,0.67,0.2478777795030685,0.9603960396039604,0.5172822411808623
0.0,0.68,0.2730415051688753,0.9554455445544554,0.5425849487773888
0.0,0.6900000000000001,0.28507390703599983,0.9504950495049505,0.5538844869566961
0.0,0.7000000000000001,0.30944252132658573,0.9504950495049505,0.5797132454419556
0.0,0.71,0.3289012038622708,0.9504950495049505,0.5981861899865463
0.0,0.72,0.354944531165579,0.9504950495049505,0.6173310994853465
0.0,0.73,0.381494293719864,0.9504950495049505,0.6381417099398428
0.0,0.74,0.40441184315076967,0.9504950495049505,0.6564165239809941
0.0,0.75,0.4184046274783639,0.9504950495049505,0.6689031119009088
0.0,0.76,0.44567732158955475,0.9455445544554455,0.687392335771448
0.0,0.77,0.479418067857206,0.9257425742574258,0.6995438813435317
0.0,0.78,0.5093477647189752,0.9108910891089109,0.7096352111674556
0.0,0.79,0.5240679425085366,0.9108910891089109,0.7222844159318859
0.0,0.8,0.5589689326075464,0.8910891089108911,0.7285448953777113
0.0,0.81,0.5774773219080149,0.8811881188118812,0.7336228511089804
0.0,0.8200000000000001,0.6098133439717599,0.8564356435643564,0.7310772032958067
0.0,0.8300000000000001,0.6480787364450732,0.8514851485148515,0.747099023089122
0.0,0.84,0.6701359421656451,0.8415841584158416,0.7491978108605947
0.0,0.85,0.6913759233066163,0.8415841584158416,0.7597711694246347
0.0,0.86,0.7118772591544869,0.8366336633663366,0.7647200563624558
0.0,0.87,0.7248192676410499,0.8366336633663366,0.7695710909164607
0.0,0.88,0.7318599717114569,0.8316831683168316,0.7708221371587709
0.0,0.89,0.7280763790664783,0.8118811881188119,0.7588662712425089
0.0,0.9,0.734912776991985,0.806930693069307,0.758925205707384
