Alpha Score,Threshold,Precision,Recall,F2-score
0.0,0.0,0.0015369336990447347,1.0,0.007637713855987958
0.0,0.05,0.0015501054798385593,1.0,0.007702766993884237
0.0,0.1,0.001593008734838884,1.0,0.007914611493228144
0.0,0.15000000000000002,0.001714126762261016,1.0,0.00851226937632296
0.0,0.2,0.0019966240848524703,1.0,0.009904021988902547
0.0,0.25,0.002602588259008357,1.0,0.012878867735213831
0.0,0.30000000000000004,0.003853807538472389,1.0,0.01897651041676976
0.0,0.35000000000000003,0.006314049432375029,1.0,0.030792544567679395
0.0,0.4,0.011389376687604313,1.0,0.054465567958104893
0.0,0.45,0.020816622684481586,1.0,0.09608264846400447
0.0,0.5,0.03712106077367376,1.0,0.16160892496725812
0.0,0.55,0.06365744852494776,0.9908256880733946,0.2532143305743523
0.0,0.6000000000000001,0.10917415987829324,0.981651376146789,0.377802073612833
0.0,0.65,0.17312421906314532,0.9541284403669725,0.5015796230546895
0.0,0.7000000000000001,0.24103863122824065,0.9220183486238532,0.5891348662619775
0.0,0.75,0.34648744542249615,0.8944954128440367,0.6795415019868559
0.0,0.8,0.4282737041222571,0.8532110091743119,0.7119335420643422
0.0,0.8500000000000001,0.5316329440182652,0.8073394495412844,0.7314708372925326
0.0,0.9,0.6186034658511723,0.7568807339449541,0.7244914246419372
0.0,0.9500000000000001,0.6521406727828747,0.6880733944954128,0.6805735221528144
0.0,1.0,0.6880733944954128,0.6055045871559633,0.6203940442171756
0.05,0.0,0.0015369336990447347,1.0,0.007637713855987958
0.05,0.05,0.0015502084399823379,1.0,0.007703275469319498
0.05,0.1,0.0015946877574916374,1.0,0.007922900577240788
0.05,0.15000000000000002,0.001723654434963097,1.0,0.008559259353437279
0.05,0.2,0.002034198860451506,1.0,0.010088902962618473
0.05,0.25,0.0027066385730076777,1.0,0.013388244311128979
0.05,0.30000000000000004,0.004128168317639765,1.0,0.02030554279445267
0.05,0.35000000000000003,0.00696395869825051,1.0,0.03387614518748618
0.05,0.4,0.01289026553955619,1.0,0.06129109380058348
0.05,0.45,0.023723365744455112,1.0,0.10833641147118477
0.05,0.5,0.04104416976184172,1.0,0.17627981431232465
0.05,0.55,0.07288754415739265,0.9908256880733946,0.28158222982641845
0.05,0.6000000000000001,0.12621071182347865,0.981651376146789,0.4167352855876261
0.05,0.65,0.1949240733256272,0.9541284403669725,0.5363362237846928
0.05,0.7000000000000001,0.2477150749503264,0.926605504587156,0.5985351902830877
