N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
5,0.015228291783028631,0.719645247657296,0.06535611295403217,112.85642570281125,59.0,378,7
50,0.00911922752429245,0.7664993306559571,0.042510801453188356,151.99096385542168,96.0,428,51
100,0.005724568635612888,0.8193775100401608,0.027534953682626224,220.44477911646587,160.0,428,106
300,0.0029480120847396613,0.9216867469879518,0.014505646105294883,408.6375502008032,348.0,601,308
500,0.0017364965907380437,0.9921352074966533,0.008607296214462294,736.1275100401606,776.0,776,551
