N_neighbor,Precision,Recall,F2-score,Mean,Median,Max,Min
5,0.673025435073628,0.7183734939759037,0.695516444553032,112.85642570281125,59.0,378,7
50,0.4499135430611338,0.7656459170013388,0.6099637141672929,151.99096385542168,96.0,428,51
100,0.2601083738884944,0.8186914323962518,0.4944927827072044,220.44477911646587,160.0,428,106
300,0.11427454498321686,0.9213520749665327,0.3534254629636915,408.6375502008032,348.0,601,308
500,0.05972338125952668,0.9919678714859438,0.23578258317862683,736.1275100401606,776.0,776,551
